image_path,target,split,image_base,status,sidewalk_pos,road_pos,Object_present,Object_present_outside,m_bicycle,m_car,m_person,m_traffic_sign,traffic_light,m_obstacle,m_grass,m_plants,m_trees,m_bicycle_outside,m_car_outside,m_person_outside,m_traffic_sign_outside,traffic_light_outside,m_obstacle_outside,m_grass_outside,m_plants_outside,m_trees_outside,priority_caption
testing/images/-aZs4bu6mgdPQs7Xi8xUNQ.jpg,"The sidewalk is centered in the view, bordered by a grassy area with trees on the left and a road on the right. A construction worker stands approximately 10 meters ahead, partially obstructing the path. The path appears clear for navigation.",test,-aZs4bu6mgdPQs7Xi8xUNQ.jpg,done,Center,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,Right,"Sidewalk: center. Road: right. RoadVsSidewalk: right_of. Nearby: no important close objects visible. Far: an obstacle farther away on the right. Context: The sidewalk is centered in the view, bordered by a grassy area with trees on the left and a road on the right. A construction worker stands approximately 10 meters ahead, partially obstructing the path. The path appears clear for navigation."
testing/images/-tpmjcVylShgHq6uKICQhQ.jpg,"The sidewalk is centered in the view, leading towards a pedestrian crossing. A few pedestrians are standing near the crossing, and a traffic light pole stands approximately 5 meters ahead. The path is clear for navigation.",test,-tpmjcVylShgHq6uKICQhQ.jpg,done,Center,Right,Yes,Yes,not present,not present,Center-Left,not present,not present,Left,not present,not present,not present,not present,not present,Right,Right,not present,not present,not present,not present,not present,"Sidewalk: center. Road: right. RoadVsSidewalk: right_of. Nearby: an obstacle close on the left; 2 people close on the left and center. Far: a person farther away on the right; a traffic sign farther away on the right. Context: The sidewalk is centered in the view, leading towards a pedestrian crossing. A few pedestrians are standing near the crossing, and a traffic light pole stands approximately 5 meters ahead. The path is clear for navigation."
testing/images/0023.jpg,"The sidewalk is centered in the view, bordered by bushes on the left and a road on the right. A lamppost stands approximately 5 meters ahead on the left side. The path is clear for next 10 meters.",test,0023.jpg,done,Right,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Left-Left,not present,not present,not present,Left,not present,Left,not present,"Sidewalk: right. Road: right. RoadVsSidewalk: unknown. Nearby: no important close objects visible. Far: an obstacle farther away on the left; 3 cars farther away on the left. Context: The sidewalk is centered in the view, bordered by bushes on the left and a road on the right. A lamppost stands approximately 5 meters ahead on the left side. The path is clear for next 10 meters."
testing/images/0037.jpg,"The sidewalk is centered in the view, leading to a pedestrian crossing. A road runs parallel to the sidewalk on the right side. A traffic sign pole stands on the right 5 meters ahead. The path is clear for next 10 meters.",test,0037.jpg,done,Center,Front,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Right,not present,not present,Left-Right,not present,not present,"Sidewalk: center. Road: front. RoadVsSidewalk: crossing_front. Nearby: no important close objects visible. Far: 2 traffic signs farther away on the left and right. Context: The sidewalk is centered in the view, leading to a pedestrian crossing. A road runs parallel to the sidewalk on the right side. A traffic sign pole stands on the right 5 meters ahead. The path is clear for next 10 meters."
testing/images/0048.jpg,"The sidewalk is centered in the view, leading to a pedestrian crossing with a zebra-striped road. A traffic light pole stands approximately 5 meters ahead on the right side. The path is clear for next 10 meters.",test,0048.jpg,done,Center,Front,Yes,Yes,Left,Left,not present,Right,Right,Right,not present,Right,not present,not present,Center,not present,not present,Right,Center,not present,Right,not present,"Sidewalk: center. Road: front. RoadVsSidewalk: crossing_front. Nearby: an obstacle close on the right; a bicycle close on the left; a car close on the left; a traffic sign close on the right; a traffic light close on the right. Far: an obstacle farther away on the center; a car farther away on the center; a traffic light farther away on the right. Context: The sidewalk is centered in the view, leading to a pedestrian crossing with a zebra-striped road. A traffic light pole stands approximately 5 meters ahead on the right side. The path is clear for next 10 meters."
testing/images/0064.jpg,"The sidewalk is centered in the view, bordered by a road on the left and a fence on the right. Two trash bins are positioned 3 meters ahead on the right side, partially obstructing the path. The sidewalk appears clear for navigation.",test,0064.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,Right-Right,not present,Right,not present,"Sidewalk: center. Road: left. RoadVsSidewalk: left_of. Nearby: no important close objects visible. Far: 2 obstacles farther away on the right; a car farther away on the left. Context: The sidewalk is centered in the view, bordered by a road on the left and a fence on the right. Two trash bins are positioned 3 meters ahead on the right side, partially obstructing the path. The sidewalk appears clear for navigation."
testing/images/0068.jpg,"The sidewalk is centered in the view, bordered by trees on both sides. A large tree trunk stands on the left side, partially obstructing the path. The path is clear for next 10 meters.",test,0068.jpg,done,Center,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Right,not present,Left-Right,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: no important close objects visible. Context: The sidewalk is centered in the view, bordered by trees on both sides. A large tree trunk stands on the left side, partially obstructing the path. The path is clear for next 10 meters."
testing/images/0082.jpg,"The sidewalk is under a covered walkway with large columns. A bicycle is parked against a pillar on the left side, about 5 meters ahead. The path is clear for the next 10 meters.",test,0082.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: an obstacle close on the left. Context: The sidewalk is under a covered walkway with large columns. A bicycle is parked against a pillar on the left side, about 5 meters ahead. The path is clear for the next 10 meters."
testing/images/0083.jpg,"The sidewalk is on the right side of the view, bordered by a railing and a road with a yellow curb. A traffic light pole stands approximately 5 meters ahead, showing a red signal. A construction barrier is positioned near the curb, partially obstructing the path. The sidewalk appears clear for navigation.",test,0083.jpg,done,Center,Front,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,"Sidewalk: center. Road: front. RoadVsSidewalk: crossing_front. Nearby: no important close objects visible. Far: an obstacle farther away on the right. Context: The sidewalk is on the right side of the view, bordered by a railing and a road with a yellow curb. A traffic light pole stands approximately 5 meters ahead, showing a red signal. A construction barrier is positioned near the curb, partially obstructing the path. The sidewalk appears clear for navigation."
testing/images/0089.jpg,"The sidewalk is centered in the view, bordered by a building on the right and parked cars on the left. A speed limit sign stands approximately 3 meters ahead, partially obstructing the path. The path remains clear for navigation.",test,0089.jpg,done,Center,Not present,Yes,No,not present,Left,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,"Sidewalk: center. Road: unknown. RoadVsSidewalk: unknown. Nearby: a car close on the left; a traffic sign close on the right. Context: The sidewalk is centered in the view, bordered by a building on the right and parked cars on the left. A speed limit sign stands approximately 3 meters ahead, partially obstructing the path. The path remains clear for navigation."
