image,status,sidewalk_pos,road_pos,Object_present,Object_present_outside,m_bicycle,m_car,m_person,m_traffic_sign,traffic_light,m_obstacle,m_grass,m_plants,m_trees,m_bicycle_outside,m_car_outside,m_person_outside,m_traffic_sign_outside,traffic_light_outside,m_obstacle_outside,m_grass_outside,m_plants_outside,m_trees_outside
-4jzRzGfKmQg8RBNlNqnGQ.jpg,done,Center,Front,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present
-UE2rM7QKcGxp4x69A4RnQ.jpg,done,Right,Left,Yes,Yes,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
-DXgAnuaSe6TtQ9Hbm3G2A.jpg,done,Right,Not present,Yes,No,not present,not present,Right-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left
-cHw9ug6U5pE2c9H1dHUOg.jpg,done,Left,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
-eWxFIP8Kr88-Udk6si_pA.jpg,done,Left,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
-gV_IwkfSjb6nsiJD9hulQ.jpg,done,Right,Front,Yes,Yes,not present,not present,not present,not present,Left,Right-Right,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present
-i-C19RhKpUV_em5j3wQwg.jpg,done,Outside,Right,Yes,Yes,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present
-jhqNCQcsRNs88iAUtttpw.jpg,done,Center,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present
-koJxu16wZChFAi7BvOxQw.jpg,done,Center,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,Left,Left
-tpmjcVylShgHq6uKICQhQ.jpg,done,Center,Right,Yes,Yes,not present,not present,Center-Left,not present,not present,Left,not present,not present,not present,not present,not present,Right,Right,not present,not present,not present,not present,not present
0003.jpg,done,Outside,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0004.jpg,done,Outside,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0005.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present
0006.jpg,done,Center,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present
0009.jpg,done,Left,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,Left,not present,Left
0010.jpg,done,Left,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,Left,not present,Right
0011.jpg,done,Right,Left,Yes,No,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0012.jpg,done,Center,Right,Yes,Yes,not present,not present,not present,Right,not present,not present,not present,Left,not present,not present,Right,not present,not present,not present,not present,not present,Left,Left
0007.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,not present,not present,Right,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0014.jpg,done,Left,Right,Yes,Yes,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,Left,not present,not present,Left
0015.jpg,done,Center,Right,Yes,Yes,not present,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,Left
0016.jpg,done,Center,Right,Yes,Yes,not present,not present,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,Left,not present,Left,Left
0017.jpg,done,Center,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,Left
0018.jpg,done,Center,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,Left
0019.jpg,done,Right,Right,Yes,Yes,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,Left,not present,Left,not present
0021.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,Right,not present,not present,Right
0022.jpg,done,Center,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,Left,not present,not present,not present,not present,not present
0023.jpg,done,Right,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Left-Left,not present,not present,not present,Left,not present,Left,not present
0024.jpg,done,Right,Right,Yes,Yes,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,Left-Left-Left-Left-Right,not present,not present,not present,not present,not present,not present,not present
0025.jpg,done,Left,Right,Yes,Yes,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,Left,not present,not present,not present
0026.jpg,done,Right,Left,Yes,Yes,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,Left-Left,not present,not present,not present,Left-Left,not present,not present,not present
0027.jpg,done,Right,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,Left,not present
0028.jpg,done,Center,Right,Yes,Yes,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,Left
0029.jpg,done,Center,Right,Yes,Yes,not present,not present,not present,not present,not present,Center,not present,Left,not present,not present,Right-Left-Left,not present,Right,not present,Left,not present,Left,not present
0030.jpg,done,Left,Right,Yes,Yes,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,Right-Right-Right,not present,Left,not present,not present,not present,not present,not present
0031.jpg,done,Right,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Left-Left,not present,not present,not present,Right,not present,not present,not present
0032.jpg,done,Right,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,Right,Right,not present,not present
0033.jpg,done,Right,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,Right
0034.jpg,done,Left,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Left-Left,not present,Left,not present,Left-Left,Left,Right,Right
0043.jpg,done,Right,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,Right
0044.jpg,done,Right,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,Right,Right,not present
0045.jpg,done,Center,Left,No,No,Center,not present,Center,not present,not present,not present,not present,not present,not present,not present,Center,not present,not present,Right,Left,not present,not present,Right
0046.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,Right,not present
0047.jpg,done,Center,Left,Yes,Yes,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,Right,not present
0048.jpg,done,Center,Front,Yes,Yes,Left,Left,not present,Right,Right,Right,not present,Right,not present,not present,Center,not present,not present,Right,Center,not present,Right,not present
0049.jpg,done,Right,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,Center,not present,not present,not present
0050.jpg,done,Right,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Center,not present,Right,not present,Right-Left,not present
0051.jpg,done,Right,Front,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0052.jpg,done,Right,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,Right,not present
0053.jpg,done,Right,Left,Yes,Yes,not present,not present,not present,Center,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present
0054.jpg,done,Center,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,Right,not present
0055.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,Right,not present,not present,not present,Right,not present
0056.jpg,done,Outside,Front,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present
0058.jpg,done,Center,Front,Yes,No,not present,not present,not present,Left,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0059.jpg,done,Right,Right,Yes,Yes,not present,not present,not present,Center,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,Left,Left,Left,not present
0060.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,Right,Right,Right,not present
0061.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Center,not present,Right,not present,not present,not present
0062.jpg,done,Center,Left,Yes,Yes,not present,not present,not present,Right,not present,Center-Right,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,Right,not present
0063.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present
0064.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,Right-Right,not present,Right,not present
0066.jpg,done,Right,Left,N,,,,,,,,,,,,,,,,,,,
0067.jpg,done,Center,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right-Left
-aZs4bu6mgdPQs7Xi8xUNQ.jpg,done,Center,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,Right
0035.jpg,done,Center,Front,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present
0068.jpg,done,Center,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Right,not present,Left-Right
0069.jpg,done,Center,Left,Yes,No,not present,not present,not present,Center,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0070.jpg,done,Center,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0071.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0072.jpg,done,Center,Not present,Yes,Yes,not present,not present,not present,not present,not present,Left-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present
0073.jpg,done,Center,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0074.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0075.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0076.jpg,done,Center,Not present,Yes,Yes,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0077.jpg,done,Center,Left,Yes,No,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0078.jpg,done,Center,Front,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0079.jpg,done,Center,Left,Yes,No,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0080.jpg,done,Outside,Front,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0081.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Right-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0082.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0083.jpg,done,Center,Front,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present
0084.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0085.jpg,done,Right,Left,Yes,No,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0086.jpg,done,Left,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,Right,not present,not present,not present
0087.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present
0088.jpg,done,Center,Left,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0089.jpg,done,Center,Not present,Yes,No,not present,Left,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0090.jpg,done,Center,Left,Yes,Yes,not present,not present,not present,not present,not present,Left-Right,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0091.jpg,done,Center,Right,Yes,Yes,Left,Right,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present
0092.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,not present,Left-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0094.jpg,done,Center,Left,Yes,No,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0096.jpg,done,Left,Not present,Yes,No,not present,not present,not present,not present,not present,Right-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
